,Argentina,Developing Asia,Australia,Austria,Belgium,Bulgaria,Bahrain,Belarus,Brazil,Canada,Switzerland,Chile,China,Colombia,Cyprus,Czech Republic,Germany,Developing Countries,Denmark,Dominican Republic,Algeria,East Asia & Pacific developing,Europe & Central Asia developing,Ecuador,"Egypt, Arab Rep.",Spain,Estonia,Finland,France,United Kingdom,Greece,High Income Countries,"Hong Kong SAR, China",Croatia,Hungary,High income: OECD,India,Ireland,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,"Korea, Rep.",Latin America & Caribbean developing,Low Income,Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Mexico,Middle Income Countries,"Macedonia, FYR",Malta,Middle East & N. Africa developing,Mauritius,Netherlands,Norway,New Zealand,High Income: Non-OECD,Pakistan,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,South Asia developing,Saudi Arabia,Singapore,Sub-Saharan Africa developing,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Ukraine,Uruguay,United States,"Venezuela, RB",Vietnam,World (WBG members),South Africa
1990,NA,NA,"6,943297","5,373002","6,550265",NA,NA,NA,NA,"8,15","0,501328",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"15,48333","0,65","3,103129","7,625","7,091667",NA,"5,615249","1,318874",NA,NA,"5,678432",NA,"13,41667",NA,NA,NA,NA,"2,108117",NA,NA,NA,NA,"15,9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,783333","7,984591",NA,"3,13",NA,NA,"3,441667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,239701",NA,NA,NA,"1,658333",NA,NA,"5,616667",NA,NA,NA,NA
1991,NA,NA,"9,614137","5,823096","6,439811",NA,NA,NA,NA,"10,31667","1,090451",NA,NA,NA,NA,NA,"4,864885",NA,NA,NA,25,NA,NA,NA,NA,"15,51667","1,475","6,666424","7,8","8,825",NA,"6,767956","1,74954",NA,NA,"6,842528",NA,"14,73333",NA,NA,NA,NA,"2,099018",NA,NA,NA,NA,"14,7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6,041667","10,61144",NA,"6,28",NA,"10,45","9,008333",NA,NA,NA,NA,NA,"1,75",NA,"7,05",NA,"4,005607",NA,NA,NA,"1,533333",NA,NA,"6,85",NA,NA,NA,NA
1992,NA,NA,"10,75008","5,941711","7,088083","13,235",NA,NA,NA,"11,21667","2,563105",NA,NA,NA,NA,NA,"5,764563",NA,NA,NA,27,NA,NA,NA,NA,"17,06667","3,725","11,79683","8,65","9,966667",NA,"7,689068","1,947085",NA,NA,"7,775384",NA,"15,4",NA,NA,NA,NA,"2,151389",NA,NA,NA,NA,"14,6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6,55","10,64473",NA,"5,85",NA,"9,85","12,93333",NA,"5,45",NA,NA,NA,"1,8",NA,"11,31833","11,56667","7,110956",NA,NA,NA,"1,5",NA,NA,"7,491667",NA,NA,NA,NA
1993,NA,NA,"10,86617","6,811381","8,619116","15,85583",NA,NA,NA,"11,375","4,516116","6,501549",NA,NA,NA,NA,"6,93137",NA,NA,NA,"23,2",NA,NA,NA,NA,"20,83333","6,55","16,38421","9,65","10,4",NA,"8,18563","1,980375",NA,NA,"8,279928",NA,"15,63333",NA,NA,NA,"19,7","2,503291",NA,NA,NA,NA,"13,8","4,191667",NA,"4,658333",NA,NA,NA,NA,NA,NA,NA,NA,"8,296799","6,608333","9,800159",NA,"4,73",NA,"9,325","15,03333",NA,"9,208333",NA,NA,NA,"1,675",NA,"12,855","14,575","11,14689",NA,NA,NA,"1,425",NA,NA,"6,908333",NA,NA,NA,NA
1994,NA,NA,"9,705695","6,54548","9,753488","14,06583",NA,NA,NA,"10,39167","4,718465","7,797124",NA,NA,NA,NA,"7,340639",NA,NA,NA,"24,4",NA,NA,NA,NA,"22,05","7,55","16,53442","10,25","9,5","8,776818","8,089304","1,910873",NA,NA,"8,180123",NA,"14,35",NA,NA,NA,"15,8","2,890953",NA,NA,NA,NA,"13,1","3,625",NA,"6,358333",NA,NA,NA,NA,NA,NA,NA,NA,"9,19035",6,"8,342465",NA,"4,84",NA,"9,575","16,50833",NA,"10,975","7,00654",NA,NA,"1,725",NA,"14,62917","14,55","10,76619",NA,NA,NA,"1,566667",NA,NA,"6,1",NA,NA,NA,NA
1995,NA,NA,"8,471058","6,589767","9,67386","11,38583",NA,NA,NA,"9,466667","4,232892","7,379939",NA,NA,NA,NA,"7,091997",NA,NA,NA,"28,1",NA,NA,NA,NA,"20,79167","9,75","15,42648","9,675","8,658333","9,049149","7,646324","3,039959",NA,NA,"7,710728",NA,"12,28333",NA,NA,NA,"15,3","3,153574",NA,NA,NA,NA,"12,3","6,116667","2,625705","6,35",NA,NA,NA,NA,NA,NA,NA,NA,"10,59385","5,441667","6,451948",NA,"5,37",NA,"9,525","15,225","7,150996","9,975","8,308334",NA,NA,"1,725",NA,"13,68083","14,04167","10,42139",NA,NA,NA,"1,808333",NA,NA,"5,591667",NA,NA,NA,NA
1996,NA,NA,"8,516425","7,033851","9,543726","11,06167",NA,NA,NA,"9,608333","4,665679","6,508231",NA,NA,NA,NA,"7,744785",NA,NA,NA,28,NA,NA,NA,NA,"19,88333","9,95","14,58738","10,125","8,116667","9,496658","7,551943","2,856166",NA,NA,"7,611653",NA,"11,65",NA,NA,NA,"12,8","3,350839",NA,NA,NA,NA,"11,3","7,133333","2,868491","7,025",NA,NA,NA,NA,NA,NA,NA,NA,"9,76446","4,791667","6,305462",NA,"5,37",NA,"8,55","14,3","7,25532","7,775","9,268224",NA,NA,"1,65",NA,"12,605","13,91667","10,90169",NA,NA,NA,"2,6",NA,NA,"5,408333",NA,"5,88",NA,NA
1997,NA,NA,"8,363718","7,103283","9,212427","14,04583",NA,NA,NA,"9,091667","5,201972","6,097341",NA,NA,NA,NA,"8,564601",NA,NA,NA,28,NA,NA,NA,NA,"18,38333","9,65","12,6308","10,3","6,983333","9,679274","7,121448","2,237825",NA,NA,"7,183316",NA,"9,858333",NA,NA,NA,"14,4","3,403121",NA,NA,NA,NA,"10,5","5,908333","3,065052","7,475",NA,NA,NA,NA,NA,NA,NA,NA,"8,211389","3,9","6,834242",NA,"6,12",NA,"8,725","11,50833","6,752381","7,508333","10,82706",NA,NA,"1,425",NA,"12,91417","14,41667","10,88338",NA,NA,NA,"2,725","1,923333","11,55833","4,941667",NA,"6,01",NA,NA
1998,NA,NA,"7,651377","7,184796","9,338412","12,20333",NA,NA,NA,"8,291667","3,840284","6,210401",NA,NA,NA,NA,"8,107018",NA,NA,NA,28,NA,"10,96258",NA,NA,"16,41667","9,825","11,35479","9,875","6,266667","10,89499","6,687244","4,360939",NA,NA,"6,716645",NA,"7,55",NA,NA,NA,"14,4","4,114413",NA,NA,NA,NA,"9,2","6,408333","2,85514","7,575",NA,NA,NA,NA,NA,NA,NA,NA,"6,573598","3,1","7,733373",NA,"5,89",NA,"10,05","10,00833","4,992787","9,275","11,87585",NA,NA,"2,575",NA,"13,825","14,48333","8,816634",NA,NA,NA,"2,7","3,0275","10,125","4,5",NA,"6,85",NA,NA
1999,NA,NA,"6,869885","6,645249","8,484549","13,7825",NA,NA,NA,"7,566667","2,713548","9,95379",NA,NA,NA,NA,"7,482217",NA,NA,NA,"29,2",NA,"12,33582","11,48716",NA,"13,625","12,25","10,19669","9,575","5,983333","11,96919","6,528992","6,254886","18,63333","6,925","6,521564",NA,"5,658333",NA,NA,NA,"11,6","4,68328",NA,NA,NA,NA,"8,9","8,383333","2,699083","9,683333",NA,NA,NA,NA,NA,NA,NA,NA,"5,43542","3,041667","7,014644",NA,"5,89",NA,"9,75","11,99167","4,378613","11,39167","13,0265",NA,"4,351138","2,8",NA,"17,49083","13,56667","7,565055",NA,NA,NA,"2,925","4,065833","11,2","4,216667","14,50367","6,74",NA,NA
